date,vehicle_id,phone_number,postal_code
2006-09-06,2136,187-571-7974,30139
2002-09-27,7783,784-109-2792,27592
2001-12-05,1109,760-123-3902,84038
2004-09-19,3095,994-885-3929,59166
2008-01-02,6282,138-912-7095,67971
1999-08-18,6322,868-921-1370,45089
2001-01-29,137,912-048-1813,66196
1999-06-14,5830,593-086-4155,35258
2001-12-28,4248,751-264-1743,37241
2010-11-02,2407,155-682-1252,23620
2001-07-12,7835,205-788-0002,40550
2013-11-02,6648,401-125-5011,89487
1998-10-30,9796,358-175-9112,61205
2004-07-26,9011,420-048-1122,75706
2003-03-01,2963,199-718-4538,34537
2004-04-10,2345,982-631-6688,19033
2003-02-08,9399,848-953-9216,83965
2001-08-23,5857,222-359-9603,68700
2008-07-18,3494,917-870-0636,36659
2011-02-05,5554,590-467-3204,72962
2011-05-31,1777,113-323-1062,82805
2014-05-12,180,378-197-5390,26248
2003-03-12,7148,731-787-7748,89462
2004-03-07,7371,279-302-2330,73283
2010-05-25,2840,115-964-8587,34339
2001-06-01,873,339-173-6333,42978
2012-12-01,4401,370-791-5151,65607
2014-08-22,9185,830-469-3374,21343
1998-12-29,7159,743-189-3657,85677
2013-12-05,4178,190-658-7635,41878
2009-12-22,9692,554-039-2572,94723
2000-12-12,9463,169-641-5852,52164
2012-01-27,3410,291-369-1554,89235
2013-12-05,7270,418-959-8938,63124
2005-07-30,4596,300-974-5054,75913
2010-11-10,9808,600-394-5338,59393
2005-12-28,899,648-325-1930,19182
2003-12-05,2049,981-767-3521,48157
2007-12-26,4540,289-200-8584,93798
1999-07-15,5937,237-822-9458,29737
2007-09-03,1641,882-606-9062,84464
2006-07-04,6144,937-842-7062,97128
2010-06-12,5324,181-426-4240,66077
2004-07-02,5675,662-886-9266,89989
1999-10-01,5871,233-375-6820,54616
2008-02-21,1444,652-295-1758,45630
2006-07-20,5404,930-464-0543,20443
2013-05-30,7953,531-671-3946,60130
2005-12-25,6501,436-913-9294,49121
2007-11-03,162,438-579-7194,91045
